행정구역(시도),행정구역(시군구),연도,총인구수(명),유치원 수,초등학교 수,출생건수,사망건수,혼인건수,이혼건수,학령인구(명),행정구역
강원특별자치도,삼척시,2036,56551.23,14.95,15.0,163.95,1014.23,90.53,70.75,4797.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2037,56042.62,14.94,15.0,157.92,1035.2,86.5,68.74,4621.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2038,55541.97,14.94,14.01,150.9,1057.2,81.47,66.74000000000001,4451.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2039,55041.42,14.94,14.01,144.88000000000002,1080.17,77.45,64.73,4287.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2040,54542.75,13.94,14.01,138.86999999999998,1102.17,73.42,62.730000000000004,4129.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2041,54053.090000000004,13.94,14.01,133.84,1125.15,69.4,60.73,3977.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2042,53565.47,13.94,13.02,127.84,1149.14,66.37,58.720000000000006,3830.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2043,53080.77,13.94,13.02,122.82,1173.12,62.36000000000001,56.72,3688.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2044,52600.11,13.93,13.02,117.80999999999999,1198.1,59.33,54.72,3551.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2045,52128.34,13.93,13.02,112.80000000000001,1223.09,56.309999999999995,53.71,3420.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2046,51659.6,12.94,13.02,108.78999999999999,1249.07,53.3,51.71,3293.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2047,51196.799999999996,12.94,12.03,103.78999999999999,1275.05,50.28,49.699999999999996,3171.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2048,50737.01,12.93,12.03,99.78,1302.03,48.26,48.69,3053.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2049,50280.200000000004,12.93,12.03,95.77999999999999,1329.02,45.25,46.69,2940.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2050,49829.369999999995,12.93,12.03,91.77,1357.0,43.230000000000004,45.68,2831.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2051,49381.53,12.93,12.03,87.77000000000001,1385.97,41.22,43.68,2726.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2052,48937.670000000006,11.94,11.040000000000001,84.77000000000001,1414.9499999999998,38.21,42.67,2625.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2053,48499.770000000004,11.93,11.040000000000001,80.77,1443.93,36.2,41.669999999999995,2528.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2054,48063.880000000005,11.93,11.040000000000001,77.77,1474.9,35.18,39.67,2434.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2055,47633.96,11.93,11.040000000000001,74.77,1505.88,33.17,38.66,2344.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2056,47206.04,11.93,11.040000000000001,71.77,1537.85,31.17,37.650000000000006,2257.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2057,46784.079999999994,11.93,10.05,68.77,1569.83,29.16,36.64,2173.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2058,46364.12,10.93,10.05,65.77000000000001,1602.8,28.15,35.64,2093.0,강원특별자치도 삼척시
강원특별자치도,삼척시,2059,45949.14,10.93,10.05,62.78,1635.78,26.14,34.629999999999995,2015.0,강원특별자치도 삼척시
