연도,행정구역,학령인구(명)
2022,경기도 평택시,85911.0
2023,경기도 평택시,87484.0
2024,경기도 평택시,86566.0
2025,경기도 평택시,85658.0
2026,경기도 평택시,84154.0
2027,경기도 평택시,83324.0
2028,경기도 평택시,82235.0
2029,경기도 평택시,81473.0
2030,경기도 평택시,80607.0
2021,경기도 포천시,19574.0
2022,경기도 포천시,18580.0
2023,경기도 포천시,17714.0
2024,경기도 포천시,16897.0
2025,경기도 포천시,15808.0
2026,경기도 포천시,15681.0
2027,경기도 포천시,15541.0
2028,경기도 포천시,15443.0
2029,경기도 포천시,15336.0
2030,경기도 포천시,15196.0
2021,경기도 하남시,42220.0
2022,경기도 하남시,45683.0
2023,경기도 하남시,48770.0
2024,경기도 하남시,51748.0
2025,경기도 하남시,54132.0
2026,경기도 하남시,55751.0
2027,경기도 하남시,57199.0
2028,경기도 하남시,58776.0
2029,경기도 하남시,60350.0
2030,경기도 하남시,61984.0
2021,경기도 화성시,158935.0
2022,경기도 화성시,165672.0
2023,경기도 화성시,169958.0
2024,경기도 화성시,173982.0
2025,경기도 화성시,178299.0
2026,경기도 화성시,183901.0
2027,경기도 화성시,189196.0
2028,경기도 화성시,194442.0
2029,경기도 화성시,199625.0
2030,경기도 화성시,204416.0
2021,경상남도 거제시,45879.0
2022,경상남도 거제시,45235.0
2023,경상남도 거제시,44577.0
2024,경상남도 거제시,43541.0
2025,경상남도 거제시,42382.0
2026,경상남도 거제시,41966.0
2027,경상남도 거제시,41533.0
2028,경상남도 거제시,41085.0
2029,경상남도 거제시,40832.0
2030,경상남도 거제시,40715.0
2021,경상남도 거창군,8225.0
2022,경상남도 거창군,8049.0
2023,경상남도 거창군,7764.0
2024,경상남도 거창군,7356.0
2025,경상남도 거창군,6781.0
2026,경상남도 거창군,6546.0
2027,경상남도 거창군,6296.0
2028,경상남도 거창군,6031.0
2029,경상남도 거창군,5781.0
2030,경상남도 거창군,5520.0
2021,경상남도 고성군,6846.0
2022,경상남도 고성군,6748.0
2023,경상남도 고성군,6589.0
2024,경상남도 고성군,6250.0
2025,경상남도 고성군,5665.0
2026,경상남도 고성군,5436.0
2027,경상남도 고성군,5167.0
2028,경상남도 고성군,4944.0
2029,경상남도 고성군,4675.0
2030,경상남도 고성군,4460.0
2021,경상남도 김해시,96371.0
2022,경상남도 김해시,94131.0
2023,경상남도 김해시,92014.0
2024,경상남도 김해시,89634.0
2025,경상남도 김해시,87643.0
2026,경상남도 김해시,86702.0
2027,경상남도 김해시,85851.0
2028,경상남도 김해시,85080.0
2029,경상남도 김해시,84286.0
2030,경상남도 김해시,83666.0
2021,경상남도 남해군,4509.0
2022,경상남도 남해군,4422.0
2023,경상남도 남해군,4232.0
2024,경상남도 남해군,3995.0
2025,경상남도 남해군,3634.0
2026,경상남도 남해군,3650.0
2027,경상남도 남해군,3387.0
2028,경상남도 남해군,3253.0
2029,경상남도 남해군,3062.0
2030,경상남도 남해군,2898.0
2021,경상남도 밀양시,12413.0
2022,경상남도 밀양시,11958.0
2023,경상남도 밀양시,11547.0
2024,경상남도 밀양시,10832.0
2025,경상남도 밀양시,10008.0
2026,경상남도 밀양시,9571.0
2027,경상남도 밀양시,9150.0
2028,경상남도 밀양시,8763.0
2029,경상남도 밀양시,8311.0
2030,경상남도 밀양시,7939.0
2021,경상남도 사천시,15622.0
2022,경상남도 사천시,15213.0
2023,경상남도 사천시,14767.0
2024,경상남도 사천시,14283.0
2025,경상남도 사천시,13632.0
2026,경상남도 사천시,13486.0
2027,경상남도 사천시,13325.0
2028,경상남도 사천시,13257.0
2029,경상남도 사천시,13128.0
2030,경상남도 사천시,13114.0
2021,경상남도 산청군,3090.0
2022,경상남도 산청군,2846.0
2023,경상남도 산청군,2568.0
2024,경상남도 산청군,2278.0
2025,경상남도 산청군,1916.0
2026,경상남도 산청군,1768.0
2027,경상남도 산청군,1603.0
2028,경상남도 산청군,1454.0
2029,경상남도 산청군,1318.0
2030,경상남도 산청군,1174.0
2021,경상남도 양산시,57744.0
2022,경상남도 양산시,57530.0
2023,경상남도 양산시,56945.0
2024,경상남도 양산시,56572.0
2025,경상남도 양산시,55644.0
2026,경상남도 양산시,55240.0
2027,경상남도 양산시,54907.0
2028,경상남도 양산시,54527.0
2029,경상남도 양산시,54192.0
2030,경상남도 양산시,53893.0
2021,경상남도 의령군,3130.0
2022,경상남도 의령군,2975.0
2023,경상남도 의령군,2868.0
